"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Sirpa",4.47585697956415e-100,0.451197271800322,0.912,0.603,7.6957884906626e-96
"Hhex",4.48269960822013e-100,0.334021650781787,0.687,0.26,7.7075537063737e-96
"Selenos",8.04027893453246e-100,0.402129227536169,0.902,0.628,1.38244556000351e-95
"Tnfrsf1a",1.09648741755419e-99,0.318268180886917,0.758,0.334,1.88530046574267e-95
"Erp29",1.26681902142251e-99,0.379058618773665,0.991,0.922,2.17816862543386e-95
"Ssh1",1.64943046712917e-99,-0.513674158894529,0.451,0.752,2.83603074518189e-95
"Esyt1",1.67724276429376e-99,0.3931315595998,0.918,0.629,2.88385120892669e-95
"Cited2",3.06066319782728e-99,0.421652199332461,0.72,0.29,5.26250430234422e-95
"Rpl5",3.58603487329467e-99,0.340610927604669,0.999,0.975,6.16582836114286e-95
"Prelid1",4.13360989744671e-99,0.415894142254827,0.978,0.91,7.10732885766988e-95
"Ten1",4.69175712091316e-99,0.306700391382013,0.755,0.345,8.06700719369809e-95
"Ly75",6.48413514346055e-99,-0.41878034594166,0.065,0.415,1.11488219656661e-94
"Sri",8.51453013037283e-99,-0.460662442887751,0.961,0.945,1.4639883106163e-94
